"handle","followers","following","retweet"
"marc_saltzman",13217,814,false
"phillyhomeless",1220,635,false
"BeeLovedTrading",382,652,false
"sylviecollectn",2264,2913,false
"AmandaGoodwinHC",1337,998,false
"nfnetwork",2592,83,false
"innercoach",263,95,false
"GULLLAKEMARINE",194,29,false
"rttcom",95,34,false
"dale_hargett",271,419,false
"NeonDreams4",4471,4964,false
"chuck25952109",839,1456,false
"ParallaxCenter",25,92,false
"AncapDawg",808,1641,false
"CaptiveMatrimo1",438,374,false
"mmandmp_golf",21,52,false
"PodcastAtlantic",239,111,false
"mmandmp_golf",21,52,false
"mmandmp_golf",21,52,false
"evgeny_director",2969,423,false
"BUSargent",2251,962,false
"NoSuperman10",12,155,false
"LarryWilliamsAZ",2853,4992,false
"francisxbh",164,1864,false
"a_silly_place",272,276,false
"fosterclf",1873,4901,false
"goldy_marx",2209,2622,false
"DLP75902038",3192,3583,false
"Odbe34",5248,4407,false
"sherrilee7",16795,18081,false
"CascadeIceWater",2053,1351,false
"liberty_deity",1393,1218,false
"G911izmoLinda",2905,5000,false
"CrazyDylan021",453,1817,false
"RonPric87692996",2540,3688,false
"elixxx69",104,283,false
"RichSweetz",557,876,false
"SurfsUpBodhi",7701,7474,false
"emmaroweMRO",217,357,false
"DreamHiker2",536,805,false
"shama7786",522,109,false
"LizSaldanaNYC",1495,1110,false
"woodbitchnymph",146,517,false
"OurBloggingLife",5859,1836,false
"JimAntal",1630,1539,false
"indictmentduck",13752,14726,false
"gardner_tee",765,875,false
"emahlee13",1390,1198,false
"AnaLutetia",1019,522,false
"terraluxe",1604,2498,false
"soopajane",562,826,false
"snoopyfan91",435,3909,false
"LDS365",43703,27,false
"Dorchester_Fire",1160,1472,false
"julienabboud",862,1299,false
"JerichaJoan",67,35,false
"NabilaKhawaja",862,97,false
"SMHCS",10438,8705,false
"julieerindesign",3320,3070,false
"RadioInfluence",22624,67,false
"BodyTheBook",41,516,false
"DearFranny",6992,811,false
"DearFranny",6992,811,false
"marillion13",2316,3564,false
"marillion13",2316,3564,false
"Ambition_Christ",341,978,false
"DearFranny",6992,811,false
"BonnieDTharp",1009,1903,false
"RCahill81",130,220,false
"mmandmp_mcm",33,91,false
"DearFranny",6992,811,false
"mmandmp_mcm",33,91,false
"mmandmp_mcm",33,91,false
"sheriginett",168,215,false
"DearFranny",6992,811,false
"LanguageIndy",13,56,false
"paulclem7",7,13,false
"annettewest50",77,165,false
"danielaarzani",11,18,false
"TheRecordsCo",241,255,false
"SolarGardEU",305,634,false
"a3cordier",393,188,false
"bruceApalma",2,2,false
"vinylcook",35,44,false
"StefanVerena",365,1314,false
"LizSaldanaNYC",1495,1110,false
"Strikebot9",49,35,false
"CAMPOS17",126,797,false
"mayasinthemonth",25,209,false
"TheBookTweeters",237916,186397,false
"BodyTheBook",41,516,false
"LakeOzarkNow",4039,221,false
"jcasap",31187,956,false
"MEmpriss",751,535,false
"TTLLDcom",293,2365,false
"mynameispurpose",1038,754,false
"Ttow69",45,314,false
"janebarlow123",285,332,false
"VanRichards",649,562,false
"stretchandbloom",4348,2922,false"handle","followers","following","retweet"
"DeeceComedy",222,347,false
"Beast666x",9,89,false
"LadyArrowsmith",408,581,false
"meetingsmeanbiz",12871,597,false
"66perristreet",3161,821,false
"TheRealTomLynch",261,796,false
"MenryAZ",973,1292,false
"Nievez_13",680,1153,false
"avdude",14955,13448,false
"SashaLevage",50,102,false
"kristenhewitt",4714,904,false
"kurtludden19",1206,1257,false
"Urban_Vybe",188,236,false
"DivulgingDiva",1,2,false
"MichaelaCaizzi",187,492,false
"DeeceComedy",222,347,false
"BlackLunaAngelX",336,558,false
"NCStinn",1855,1475,false
"BlackLunaAngelX",336,558,false
"Joe69325884",23,150,false
"aroundsoundapp",73,41,false
"DDCroixWrites",1298,2097,false
"PrimeYsiadGL",84,505,false
"ecogreen_nature",865,4992,false
"GeorgeMo",318,1400,false
"gujjushaheera",57,118,false
"TWalkingDWorld",19910,3039,false
"CorporateIntel",693,1051,false
"steffel_mary",603,312,false
"FoodCambridge",2522,785,false
"SarabethPollock",2156,4097,false
"SarabethPollock",2156,4097,false
"bfc090500",975,2325,false
"UndeadWalkingFS",29399,10269,false
"DYLNinspired",5206,4495,false
"danieljramos",25,91,false
"ValWhitlow",266,540,false
"UndeadWalkingFS",29399,10269,false
"SinisterDarkSo1",196,97,false
"TheBookTweeters",237916,186397,false
"SpecialistDee",791,587,false
"MaggieB51966610",192,125,false
"Sarise",234,128,false
"plantbasedcook",1371,1025,false
"LindaAspey",1604,1918,false
"ZacharysandersU",118,155,false
"Stormjar",510,971,false
"mmandmp_sport",24,53,false
"EarthStrikeUK",5505,1000,false
"mmandmp_sport",24,53,false
"mmandmp_sport",24,53,false
"KerryanneWilde",2980,4944,false
"espendholsen",2134,2049,false
"MomWifeWine",4490,4284,false
"LizSaldanaNYC",1495,1110,false
"Segsabase",226,2759,false
"CasMudde",31255,1232,false
"HeyMo517",8711,8433,false
"PreacherVeteran",630,3018,false
"FatBottom50s",8602,7725,false
"LizSaldanaNYC",1495,1110,false
"mmandmp_news",44,100,false
"studywithoceane",25,28,false
"SVUEARP",1081,1009,false
"techie_wiz",336,25,false
"mmandmp_news",44,100,false
"mmandmp_news",44,100,false
"BreakoutChester",4408,2867,false
"karynpalminteri",1776,1154,false
"EnActNow",2371,2037,false
"CastellKim",4641,2626,false
"CariCole",13598,10059,false
"mmandmp_pro",56367,60121,false
"mmandmp_pro",56367,60121,false
"RS_Rutherford",2055,2171,false
"breakoutlpl",7966,4497,false
"TrevorLrb",149,549,false
"fullvanfun",4505,2733,false
"nadenlad",9,11,false
"KarenPark10",200,672,false
"WomenIntegral",193,420,false
"MarkTJay3",22455,20444,false
"nyatibree",346,640,false
"RoderickCarlyle",1848,2979,false
"alvaro_salazarr",474,1195,false
"FSUWriter",3226,306,false
"braviumhd",100,201,false
"TravelKSOK_IE",433,1273,false
"StylewriterUSA",1221,0,false
"MichaelsANewman",18334,17917,false
"davesmi12833580",11,32,false
"TravelKSOK_UK",544,1412,false
"davesmi12833580",11,32,false
"shersharesblog",286,610,false
"starbabyOnline",1071,1622,false
"CindyMundell",738,1053,false
"thepeacefulprof",680,531,false
"increaseJeremi2",1,105,false
"SSXman2",4174,5000,false
"SwingZoneGolf",129,271,false"handle","followers","following","retweet"
